workload_kind,file_size_bytes,chunk_size_bytes,generation_gap_ms,rtt_ms,bandwidth_mbps,delayed_ack_ms,mss_bytes,nagle_penalty_factor,propagation_factor,message_size_mean,inter_arrival_time,queue_size,estimated_rtt,scenario_id,policy,resolved_batch_bytes,resolved_flush_interval_ms,latency_mean_ms,latency_p95_ms,throughput_mbps,goodput_bytes,flush_count,syscall_count,mean_batch_size_bytes,mean_queue_size_bytes,max_queue_size_bytes,mean_elapsed_time_since_last_flush_ms,deadline_miss_ms_sum,late_frame_ratio,keyframe_late_ratio,decodable_gop_ratio,useful_goodput_bytes,best_fixed_score_gap,batch_bytes,flush_interval_ms,trace_csv_path,playback_buffer_ms,loop_count,trace_name,mean_frame_bytes,p95_frame_bytes,frame_interval_ms,keyframe_interval_frames,i_ratio,p_ratio,b_ratio,throughput_mbps_score,goodput_bytes_score,latency_p95_ms_score,flush_count_score,objective_score,decodable_gop_ratio_score,late_frame_ratio_score,keyframe_late_ratio_score,useful_goodput_bytes_score
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,1460.0,2.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,2.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,1460.0,4.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,4.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,1460.0,8.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,8.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,1460.0,16.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,16.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,1460.0,33.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,33.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,1460.0,50.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,50.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,2920.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,2920.0,1.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,1.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,2920.0,2.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,2.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,2920.0,4.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,4.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
